ref_temp,measured_voltage,temp,,Matthew,,Residuals,percent,max,min
25,-0.21,19.825,,19.83157868,,-0.006578684,-0.033183779,,
25,-0.209,19.85,,19.85639801,,-0.006398005,-0.032231765,,
25,-0.208,19.875,,19.88121601,,-0.006216008,-0.031275514,,
25,-0.207,19.9,,19.90603269,,-0.006032694,-0.030315043,,
25,-0.206,19.925,,19.93084806,,-0.005848061,-0.02935037,,
25,-0.205,19.95,,19.95566211,,-0.005662111,-0.028381511,,
25,-0.204,19.975,,19.98047484,,-0.005474845,-0.027408484,,
25,-0.203,20,,20.00528626,,-0.005286261,-0.026431304,,
25,-0.202,20.025,,20.03009636,,-0.00509636,-0.02544999,,
25,-0.201,20.05,,20.05490514,,-0.004905144,-0.024464557,,
25,-0.2,20.075,,20.07971261,,-0.004712611,-0.023475023,,
25,-0.199,20.1,,20.10451876,,-0.004518762,-0.022481403,,
25,-0.198,20.125,,20.1293236,,-0.004323597,-0.021483714,,
25,-0.197,20.15,,20.15412712,,-0.004127117,-0.020481973,,
25,-0.196,20.175,,20.17892932,,-0.003929322,-0.019476195,,
25,-0.195,20.2,,20.20373021,,-0.003730212,-0.018466397,,
25,-0.194,20.225,,20.22852979,,-0.003529787,-0.017452595,,
25,-0.193,20.25,,20.25332805,,-0.003328048,-0.016434805,,
25,-0.192,20.275,,20.27812499,,-0.003124995,-0.015413043,,
25,-0.191,20.3,,20.30292063,,-0.002920627,-0.014387325,,
25,-0.19,20.325,,20.32771495,,-0.002714946,-0.013357666,,
25,-0.189,20.35,,20.35250795,,-0.002507951,-0.012324083,,
25,-0.188,20.375,,20.37729964,,-0.002299643,-0.01128659,,
25,-0.187,20.4,,20.40209002,,-0.002090021,-0.010245203,,
25,-0.186,20.425,,20.42687909,,-0.001879087,-0.009199939,,
25,-0.185,20.45,,20.45166684,,-0.001666841,-0.008150811,,
25,-0.184,20.475,,20.47645328,,-0.001453282,-0.007097836,,
25,-0.183,20.5,,20.50123841,,-0.001238411,-0.006041029,,
25,-0.182,20.525,,20.52602223,,-0.001022228,-0.004980405,,
25,-0.181,20.55,,20.55080473,,-0.000804734,-0.003915979,,
25,-0.18,20.575,,20.57558593,,-0.000585928,-0.002847766,,
25,-0.179,20.6,,20.60036581,,-0.000365811,-0.001775781,,
25,-0.178,20.625,,20.62514438,,-0.000144383,-0.000700039,,
25,-0.177,20.65,,20.64992164,,7.84E-05,0.000379446,,
25,-0.176,20.675,,20.6746976,,0.000302404,0.001462658,,
25,-0.175,20.7,,20.69947224,,0.000527764,0.002549583,,
25,-0.174,20.725,,20.72424557,,0.000754433,0.003640206,,
25,-0.173,20.75,,20.74901759,,0.000982412,0.004734513,,
25,-0.172,20.775,,20.7737883,,0.0012117,0.00583249,,
25,-0.171,20.8,,20.7985577,,0.001442297,0.006934122,,
25,-0.17,20.825,,20.8233258,,0.001674204,0.008039394,,
25,-0.169,20.85,,20.84809258,,0.001907419,0.009148293,,
25,-0.168,20.875,,20.87285806,,0.002141943,0.010260804,,
