ref_temp,measured_voltage,temp
25.0,-0.112,22.25
25.0,-0.111,22.275
25.0,-0.11,22.3
25.0,-0.109,22.325
25.0,-0.108,22.35
25.0,-0.107,22.375
25.0,-0.106,22.4
25.0,-0.105,22.425
25.0,-0.104,22.45
25.0,-0.103,22.475
25.0,-0.102,22.5
25.0,-0.101,22.525
25.0,-0.1,22.55
25.0,-0.099,22.575
25.0,-0.098,22.6
25.0,-0.097,22.625
25.0,-0.096,22.65
25.0,-0.095,22.675
25.0,-0.094,22.7
25.0,-0.093,22.725
25.0,-0.092,22.75
25.0,-0.091,22.775
25.0,-0.09,22.8
25.0,-0.089,22.825
25.0,-0.088,22.85
25.0,-0.087,22.875
25.0,-0.086,22.9
25.0,-0.085,22.925
25.0,-0.084,22.95
25.0,-0.083,22.975
25.0,-0.082,23.0
25.0,-0.081,23.0
25.0,-0.08,23.024390243902438
25.0,-0.079,23.048780487804876
25.0,-0.078,23.073170731707318
25.0,-0.077,23.097560975609756
25.0,-0.076,23.121951219512194
25.0,-0.075,23.146341463414632
25.0,-0.074,23.170731707317074
25.0,-0.073,23.195121951219512
25.0,-0.072,23.21951219512195
25.0,-0.071,23.24390243902439
25.0,-0.07,23.268292682926827
25.0,-0.069,23.29268292682927
25.0,-0.068,23.317073170731703
25.0,-0.067,23.341463414634145
25.0,-0.066,23.365853658536583
25.0,-0.065,23.390243902439025
25.0,-0.064,23.41463414634146
25.0,-0.063,23.4390243902439
25.0,-0.062,23.46341463414634
25.0,-0.061,23.48780487804878
25.0,-0.06,23.512195121951216
25.0,-0.059,23.536585365853657
25.0,-0.058,23.560975609756095
25.0,-0.057,23.585365853658534
25.0,-0.056,23.60975609756097
25.0,-0.055,23.634146341463413
25.0,-0.054,23.65853658536585
25.0,-0.053,23.68292682926829
25.0,-0.052,23.707317073170728
25.0,-0.051,23.73170731707317
25.0,-0.05,23.756097560975608
25.0,-0.049,23.780487804878046
25.0,-0.048,23.804878048780484
25.0,-0.047,23.829268292682926
25.0,-0.046,23.853658536585364
25.0,-0.045,23.878048780487802
25.0,-0.044,23.90243902439024
25.0,-0.043,23.92682926829268
25.0,-0.042,23.95121951219512
25.0,-0.041,24.0
25.0,-0.04,24.025
25.0,-0.039,24.05
25.0,-0.038,24.075
25.0,-0.037,24.1
25.0,-0.036,24.125
25.0,-0.035,24.15
25.0,-0.034,24.175
25.0,-0.033,24.2
25.0,-0.032,24.225
25.0,-0.031,24.25
25.0,-0.03,24.275000000000002
25.0,-0.029,24.3
25.0,-0.028,24.325
25.0,-0.027,24.35
25.0,-0.026,24.375
25.0,-0.025,24.400000000000002
25.0,-0.024,24.425
25.0,-0.023,24.450000000000003
25.0,-0.022,24.475
25.0,-0.021,24.5
25.0,-0.02,24.525000000000002
25.0,-0.019,24.55
25.0,-0.018,24.575000000000003
25.0,-0.017,24.6
25.0,-0.016,24.625
25.0,-0.015,24.650000000000002
25.0,-0.014,24.675
25.0,-0.013,24.700000000000003
25.0,-0.012,24.725
25.0,-0.011,24.750000000000004
25.0,-0.01,24.775000000000002
25.0,-0.009,24.8
25.0,-0.008,24.825000000000003
25.0,-0.007,24.85
25.0,-0.006,24.875000000000004
25.0,-0.005,24.900000000000002
25.0,-0.004,24.925000000000004
25.0,-0.003,24.950000000000003
25.0,-0.002,24.975
25.0,-0.001,25.000000000000004
25.0,0.0,25.0
25.0,0.001,25.024390243902438
25.0,0.002,25.048780487804876
25.0,0.003,25.073170731707318
25.0,0.004,25.097560975609756
25.0,0.005,25.121951219512194
25.0,0.006,25.146341463414632
25.0,0.007,25.170731707317074
25.0,0.008,25.195121951219512
25.0,0.009,25.219512195121947
25.0,0.01,25.24390243902439
25.0,0.011,25.268292682926827
25.0,0.012,25.29268292682927
25.0,0.013,25.317073170731703
25.0,0.014,25.341463414634145
25.0,0.015,25.365853658536583
25.0,0.016,25.390243902439025
25.0,0.017,25.41463414634146
25.0,0.018,25.4390243902439
25.0,0.019,25.46341463414634
25.0,0.02,25.48780487804878
25.0,0.021,25.512195121951216
